course_class_id,course_id,course_name,graduation_course,credits,day,time,course_type,capacity,class_type,responsable_institute,classroom_type,term
OBG-BCC1-1,ICP131,Programação de Computadores I,BCC1,4,"SEG,QUA",10:00-12:00,OBG,60,Calouro,IC,"T,P",1
OBG-BCC1-2,ICP132,Processo de Software,BCC1,4,"TER,QUI",13:00-15:00,OBG,60,Calouro,IC,"T,P",1
OBG-BCC1-3,ICP133,Fundamentos de Sistemas de Computação,BCC1,4,"TER,QUI",10:00-12:00,OBG,60,Calouro,IC,T,1
OBG-BCC1-4,ICP134,Números Inteiros e Criptografia,BCC1,4,"TER,QUI",08:00-10:00,OBG,60,Calouro,IC,T,1
OBG-BCC1-5,ICP135,Projeto de Carreira,BCC1,4,"SEG,QUA",13:00-15:00,OBG,60,Calouro,IC,T,1
OBG-BCC1-6,ICP136,Introdução ao Pensamento Dedutivo,BCC1,4,"SEG,QUA",08:00-10:00,OBG,60,Calouro,IC,T,1
OBG-BCC2-7,ICP131,Programação de Computadores I,BCC2,4,"SEG,QUA",10:00-12:00,OBG,30,Veterano,IC,"T,P",1
OBG-BCC2-CMT1-8,ICP132,Processo de Software,BCC2-CMT1,4,"SEG,QUA",10:00-12:00,OBG,30,Veterano,IC,"T,P",1
OBG-BCC2-CMT1-9,ICP133,Fundamentos de Sistemas de Computação,BCC2-CMT1,4,"TER,QUI",08:00-10:00,OBG,30,Veterano,IC,T,1
OBG-BCC2-CMT1-10,ICP134,Números Inteiros e Criptografia,BCC2-CMT1,4,"TER,QUI",08:00-10:00,OBG,30,Veterano,IC,T,1
OBG-BCC2-11,ICP135,Projeto de Carreira,BCC2,4,"SEG,QUA",13:00-15:00,OBG,30,Veterano,IC,T,1
OBG-BCC2-CMT1-12,ICP136,Introdução ao Pensamento Dedutivo,BCC2-CMT1,4,"SEG,QUA",10:00-12:00,OBG,30,Veterano,IC,T,1
OBG-BCC1-13,ICP141,Programação de Computadores II,BCC1,4,"QUA,SEX",08:00-10:00,OBG,60,Regular,IC,"T,P",2
OBG-BCC1-CMT1-14,ICP142,Organização de Dados,BCC1-CMT1,2,TER,10:00-12:00,OBG,60,Regular,IC,T,2
OBG-BCC1-15,ICP143,Projeto Prático,BCC1,2,TER,13:00-15:00,OBG,60,Regular,IC,T,2
OBG-BCC2-CMT1-16,ICP143,Projeto Prático,BCC2-CMT1,2,QUI,13:00-15:00,OBG,30,Extra,IC,T,2
OBG-BCC1-17,ICP144,Matemática Discreta,BCC1,4,"TER,QUI",08:00-10:00,OBG,60,Calouro,IC,T,2
OBG-BCC2-18,ICP144,Matemática Discreta,BCC2,4,"TER,QUI",15:00-17:00,OBG,30,Extra,IC,T,2
OBG-BCC1-19,ICP145,Habilidades sociais para o trabalho,BCC1,2,QUI,10:00-12:00,OBG,60,Calouro,IC,T,2
OBG-BCC2-20,ICP145,Habilidades sociais para o trabalho,BCC2,2,QUI,13:00-15:00,OBG,30,Extra,IC,T,2
OBG-BCC1-21,ICP115,Álgebra Linear Algorítmica,BCC1,5,"SEG,QUA,SEX","13:00-15:00,13:00-15:00,08:00-10:00",OBG,60,Regular,IC,"T,T,P",3
OBG-BCC1-CMT1-ASD1-22,ICP116,Estrutura de Dados,BCC1-CMT1-ASD1,4,"TER,QUI",13:00-15:00,OBG,60,Regular,IC,T,3
OBG-BCC1-23,ICP237,Introdução a Modelagem de Sistemas,BCC1,4,"TER,QUI",15:00-17:00,OBG,60,Regular,IC,"T,P",3
OBG-BCC1-24,ICP239,Programação Orientada a Objeto,BCC1,4,"TER,QUI",10:00-12:00,OBG,60,Regular,IC,"T,P",3
OBG-BCC1-25,ICP238,Introdução a Computação Numérica,BCC1,2,SEG,08:00-10:00,OBG,60,Calouro,IC,P,3
OBG-BCC2-26,ICP238,Introdução a Computação Numérica,BCC2,2,SEG,13:00-15:00,OBG,30,Extra,IC,P,3
OBG-BCC1-27,ICP246,Arquitetura de Computadores e Sistemas Operacionais,BCC1,4,"TER,QUI",10:00-12:00,OBG,60,Regular,IC,T,4
OBG-BCC1-28,ICP248,Computação Científica e Análise de dados,BCC1,4,"QUA,SEX",10:00-12:00,OBG,60,Regular,IC,"T,P",4
OBG-BCC1-29,ICP123,Linguagens Formais,BCC1,4,"SEG,QUA",13:00-15:00,OBG,60,Regular,IC,T,5
OBG-BCC1-30,ICP350,Modelagem e Avaliação de Desempenho,BCC1,4,"SEG,QUA",08:00-10:00,OBG,60,Regular,IC,T,5
OBG-BCC2-31,ICP350,Modelagem e Avaliação de Desempenho,BCC2,4,"SEG,QUA",10:00-12:00,OBG,60,Extra,IC,T,5
OBG-BCC1-32,ICP351,Modelagem Matemática e Computacional,BCC1,4,"SEG,QUA",08:00-10:00,OBG,60,Regular,IC,T,5
OBG-BCC1-33,ICP353,Computadores e Programação,BCC1,4,"TER,QUI",08:00-10:00,OBG,60,Regular,IC,T,5
OBG-BCC1-34,ICP368,Algoritmos e Grafos,BCC1,4,"TER,QUI",10:00-12:00,OBG,60,Regular,IC,T,5
OBG-BCC1-CMT1-ASD1-35,ICP489,Banco de Dados I,BCC1-CMT1-ASD1,4,"QUA,SEX",08:00-10:00,OBG,60,Regular,IC,"T,P",5
OBG-BCC1-36,ICP362,Redes de Computadores I,BCC1,4,"QUA,SEX",10:00-12:00,OBG,60,Regular,IC,T,6
OBG-BCC1-37,ICP361,Programação Concorrente,BCC1,4,"TER,QUI",08:00-10:00,OBG,60,Regular,IC,"T,P",6
OBG-BCC1-38,ICP363,Introdução ao Aprendizado de Máquina,BCC1,4,"TER,QUI",13:00-15:00,OBG,60,Regular,IC,T,6
OBG-BCC1-39,ICP365,Otimização,BCC1,4,"TER,QUI",10:00-12:00,OBG,60,Regular,IC,T,6
OBG-BCC1-40,ICP370,Lógica e Computabilidade,BCC1,4,"QUA,SEX",08:00-10:00,OBG,60,Regular,IC,T,6
OBG-BCC1-41,ICP472,Metodologia da Pesquisa,BCC1,4,"QUA,SEX",10:00-12:00,OBG,60,Regular,IC,T,7
OBG-BCC1-42,ICP473,Segurança da Informação,BCC1,4,"QUA,SEX",08:00-10:00,OBG,60,Regular,IC,T,7
OBG-CMT1-43,CMT012,Introdução à Programação c/c++,CMT1,4,,,OBG,60,Regular,IC,"T,P",10
OBG-CMT1-44,ICP101,Introdução à Análise e Suporte à Decisão,CMT1,4,,,OBG,60,Regular,IC,T,10
